float,row_key,quantity,value_paper,digits
supplementary_table_1,Race | Other | Unadjusted,df,55569,0
supplementary_table_1,Race | Other | Unadjusted,estimate,-0.003,3
supplementary_table_1,Race | Other | Unadjusted,p_value,0.712,3
supplementary_table_1,Race | Other | Unadjusted,se,0.009,3
supplementary_table_1,Race | Other | Unadjusted,t,-0.369,3
supplementary_table_1,Race | White | Full adjustment set,ci_lower,-0.003,3
supplementary_table_1,Race | White | Full adjustment set,ci_upper,0.003,3
supplementary_table_1,Race | White | Full adjustment set,df,1531107,0
supplementary_table_1,Race | White | Full adjustment set,estimate,0.000,3
supplementary_table_1,Race | White | Full adjustment set,p_value,0.945,3
supplementary_table_1,Race | White | Full adjustment set,se,0.001,3
supplementary_table_1,Race | White | Full adjustment set,t,-0.069,3
supplementary_table_1,Race | White | PAP adjustment set,ci_lower,-0.003,3
supplementary_table_1,Race | White | PAP adjustment set,ci_upper,0.003,3
supplementary_table_1,Race | White | PAP adjustment set,df,1531124,0
supplementary_table_1,Race | White | PAP adjustment set,estimate,0.000,3
supplementary_table_1,Race | White | PAP adjustment set,p_value,0.908,3
supplementary_table_1,Race | White | PAP adjustment set,se,0.001,3
supplementary_table_1,Race | White | PAP adjustment set,t,-0.115,3
supplementary_table_1,Race | White | Unadjusted,ci_lower,-0.003,3
supplementary_table_1,Race | White | Unadjusted,ci_upper,0.003,3
supplementary_table_1,Race | White | Unadjusted,df,1531127,0
supplementary_table_1,Race | White | Unadjusted,estimate,0.000,3
supplementary_table_1,Race | White | Unadjusted,p_value,0.932,3
supplementary_table_1,Race | White | Unadjusted,se,0.002,3
supplementary_table_1,Race | White | Unadjusted,t,0.085,3
supplementary_table_1,Trump support | 30 to 40 | Full adjustment set,ci_lower,-0.001,3
supplementary_table_1,Trump support | 30 to 40 | Full adjustment set,ci_upper,0.008,3
supplementary_table_1,Trump support | 30 to 40 | Full adjustment set,df,522884,0
supplementary_table_1,Trump support | 30 to 40 | Full adjustment set,estimate,0.004,3
supplementary_table_1,Trump support | 30 to 40 | Full adjustment set,p_value,0.085,3
supplementary_table_1,Trump support | 30 to 40 | Full adjustment set,se,0.002,3
supplementary_table_1,Trump support | 30 to 40 | Full adjustment set,t,1.724,3
supplementary_table_1,Trump support | 30 to 40 | PAP adjustment set,ci_lower,-0.001,3
supplementary_table_1,Trump support | 30 to 40 | PAP adjustment set,ci_upper,0.008,3
supplementary_table_1,Trump support | 30 to 40 | PAP adjustment set,df,522913,0
supplementary_table_1,Trump support | 30 to 40 | PAP adjustment set,estimate,0.004,3
supplementary_table_1,Trump support | 30 to 40 | PAP adjustment set,p_value,0.107,3
supplementary_table_1,Trump support | 30 to 40 | PAP adjustment set,se,0.002,3
supplementary_table_1,Trump support | 30 to 40 | PAP adjustment set,t,1.613,3
supplementary_table_1,Trump support | 30 to 40 | Unadjusted,ci_lower,-0.002,3
supplementary_table_1,Trump support | 30 to 40 | Unadjusted,ci_upper,0.008,3
supplementary_table_1,Trump support | 30 to 40 | Unadjusted,df,522916,0
supplementary_table_1,Trump support | 30 to 40 | Unadjusted,estimate,0.003,3
supplementary_table_1,Trump support | 30 to 40 | Unadjusted,p_value,0.203,3
supplementary_table_1,Trump support | 30 to 40 | Unadjusted,se,0.003,3
supplementary_table_1,Trump support | 30 to 40 | Unadjusted,t,1.274,3
supplementary_table_1,Trump support | 40 to 50 | Full adjustment set,ci_lower,-0.007,3
supplementary_table_1,Trump support | 40 to 50 | Full adjustment set,ci_upper,0.003,3
supplementary_table_1,Trump support | 40 to 50 | Full adjustment set,df,485337,0
supplementary_table_1,Trump support | 40 to 50 | Full adjustment set,estimate,-0.002,3
supplementary_table_1,Trump support | 40 to 50 | Full adjustment set,p_value,0.413,3
supplementary_table_1,Trump support | 40 to 50 | Full adjustment set,se,0.002,3
supplementary_table_1,Trump support | 40 to 50 | Full adjustment set,t,-0.818,3
supplementary_table_1,Trump support | 40 to 50 | PAP adjustment set,ci_lower,-0.007,3
supplementary_table_1,Trump support | 40 to 50 | PAP adjustment set,ci_upper,0.003,3
supplementary_table_1,Trump support | 40 to 50 | PAP adjustment set,df,485366,0
supplementary_table_1,Trump support | 40 to 50 | PAP adjustment set,estimate,-0.002,3
supplementary_table_1,Trump support | 40 to 50 | PAP adjustment set,p_value,0.376,3
supplementary_table_1,Trump support | 40 to 50 | PAP adjustment set,se,0.002,3
supplementary_table_1,Trump support | 40 to 50 | PAP adjustment set,t,-0.885,3
supplementary_table_1,Trump support | 40 to 50 | Unadjusted,ci_lower,-0.007,3
supplementary_table_1,Trump support | 40 to 50 | Unadjusted,ci_upper,0.004,3
supplementary_table_1,Trump support | 40 to 50 | Unadjusted,df,485369,0
supplementary_table_1,Trump support | 40 to 50 | Unadjusted,estimate,-0.002,3
supplementary_table_1,Trump support | 40 to 50 | Unadjusted,p_value,0.548,3
supplementary_table_1,Trump support | 40 to 50 | Unadjusted,se,0.003,3
supplementary_table_1,Trump support | 40 to 50 | Unadjusted,t,-0.601,3
supplementary_table_1,Trump support | 50 to 60 | Full adjustment set,ci_lower,-0.005,3
supplementary_table_1,Trump support | 50 to 60 | Full adjustment set,ci_upper,0.005,3
supplementary_table_1,Trump support | 50 to 60 | Full adjustment set,df,478299,0
supplementary_table_1,Trump support | 50 to 60 | Full adjustment set,estimate,0.000,3
supplementary_table_1,Trump support | 50 to 60 | Full adjustment set,p_value,0.922,3
